date,hour,min,precipitation,direct wind,speed wind,temperature,humidity,presure,local presure,local speed
2010-01-01,00,30,5,"
СВ
",7,0,100,744,729.692925566,1.75832050206
2010-01-01,03,00,5,"
СЗ
",9,0,93,748,733.616005811,2.26069778836
2010-01-01,04,00,5,"
СЗ
",8,0,93,749,734.596775872,2.00950914521
2010-01-01,05,00,5,"
СЗ
",4,-1,100,749,734.544366052,1.0047545726
2010-01-01,06,00,5,"
СЗ
",6,-1,100,750,735.525066141,1.50713185891
2010-01-01,07,00,5,"
СЗ
",4,-1,93,750,735.525066141,1.0047545726
2010-01-01,08,00,5,"
СЗ
",3,-1,93,751,736.505766229,0.753565929453
2010-01-01,09,00,5,"
СЗ
",2,-1,93,751,736.505766229,0.502377286302
2010-01-01,09,30,5,"

",1,-1,93,752,737.486466317,0.251188643151
2010-01-01,11,00,5,"

",0,-1,93,752,737.486466317,0.0
2010-01-01,12,00,5,"

",0,-1,100,752,737.486466317,0.0
2010-01-01,13,00,5,"
ЮВ
",2,-1,100,751,736.505766229,0.502377286302
2010-01-01,14,00,5,"
В
",4,-1,100,750,735.525066141,1.0047545726
2010-01-01,15,00,5,"

",0,-1,100,750,735.525066141,0.0
2010-01-01,15,30,5,"
В
",4,-1,100,750,735.525066141,1.0047545726
2010-01-01,16,30,5,"
В
",5,-1,100,749,734.544366052,1.25594321575
2010-01-01,17,30,5,"
В
",5,-1,100,749,734.544366052,1.25594321575
2010-01-01,19,00,5,"
В
",7,-1,100,748,733.563665964,1.75832050206
2010-01-01,20,00,5,"
СВ
",6,-1,100,747,732.582965876,1.50713185891
2010-01-01,21,00,5,"
СВ
",6,-1,100,746,731.602265788,1.50713185891
2010-01-01,22,00,5,"
СВ
",6,0,93,746,731.654465688,1.50713185891
2010-01-01,23,00,5,"
СВ
",7,0,100,745,730.673695627,1.75832050206
2010-01-02,00,30,4,"
С
",9,-4,93,746,731.443361693,2.26069778836
2010-01-02,03,00,5,"
СВ
",5,1,93,743,728.763769874,1.25594321575
2010-01-02,04,00,5,"
СВ
",6,1,100,742,727.782930345,1.50713185891
2010-01-02,05,00,5,"
СВ
",5,2,100,741,726.853195694,1.25594321575
2010-01-02,06,00,5,"
СВ
",3,2,100,741,726.853195694,0.753565929453
2010-01-02,07,00,5,"
СВ
",4,2,100,741,726.853195694,1.0047545726
2010-01-02,08,00,5,"
СВ
",2,1,100,740,725.821251287,0.502377286302
2010-01-02,09,00,5,"
С
",3,1,100,740,725.821251287,0.753565929453
2010-01-02,09,30,5,"
СВ
",3,1,100,740,725.821251287,0.753565929453
2010-01-02,11,00,5,"
С
",2,2,100,740,725.872287197,0.502377286302
2010-01-02,12,00,5,"
ЮЗ
",2,2,100,741,726.853195694,0.502377286302
2010-01-02,13,00,5,"
З
",4,2,100,741,726.853195694,1.0047545726
2010-01-02,14,00,4,"
СЗ
",4,1,100,741,726.802090816,1.0047545726
2010-01-02,15,00,5,"
СЗ
",4,1,100,741,726.802090816,1.0047545726
2010-01-02,15,30,5,"
СЗ
",3,1,93,742,727.782930345,0.753565929453
2010-01-02,16,30,5,"
СЗ
",4,1,93,743,728.763769874,1.0047545726
2010-01-02,18,00,5,"
СЗ
",5,0,93,743,728.712155505,1.25594321575
2010-01-02,19,00,5,"
СЗ
",5,-1,93,743,728.660165523,1.25594321575
2010-01-02,20,00,5,"
СЗ
",6,-2,93,743,728.607795815,1.50713185891
2010-01-02,21,00,5,"
СЗ
",5,-2,93,744,729.588425419,1.25594321575
2010-01-02,22,00,5,"
СЗ
",8,-3,93,744,729.535600807,2.00950914521
2010-01-02,23,00,5,"
СЗ
",9,-4,100,744,729.482387533,2.26069778836
2010-01-03,00,30,4,"
СВ
",4,-10,93,758,742.875353337,1.0047545726
2010-01-03,03,00,5,"
С
",10,-5,93,747,732.370026378,2.51188643151
2010-01-03,04,00,5,"
СЗ
",10,-6,93,748,733.296147489,2.51188643151
2010-01-03,05,00,5,"
СЗ
",9,-6,86,749,734.276489932,2.26069778836
2010-01-03,06,00,5,"
СЗ
",9,-6,86,749,734.276489932,2.26069778836
2010-01-03,07,00,5,"
С
",9,-7,93,750,735.201988276,2.26069778836
2010-01-03,08,00,5,"
С
",9,-7,86,751,736.182257594,2.26069778836
2010-01-03,09,00,5,"
С
",8,-8,93,752,737.107125924,2.00950914521
2010-01-03,09,30,5,"
С
",7,-8,86,752,737.107125924,1.75832050206
2010-01-03,11,00,4,"
С
",6,-7,86,753,738.142796229,1.50713185891
2010-01-03,12,00,4,"
С
",5,-7,86,753,738.142796229,1.25594321575
2010-01-03,13,00,4,"
СЗ
",6,-6,86,754,739.178202148,1.50713185891
2010-01-03,14,00,4,"
СЗ
",7,-6,86,755,740.158544591,1.75832050206
2010-01-03,15,00,4,"
СЗ
",7,-6,80,755,740.158544591,1.75832050206
2010-01-03,16,00,4,"
С
",6,-7,86,755,740.103334865,1.50713185891
2010-01-03,16,30,4,"
С
",6,-7,86,756,741.083604183,1.50713185891
2010-01-03,18,00,0,"
С
",5,-8,93,757,742.008104154,1.25594321575
2010-01-03,19,00,0,"
С
",6,-8,86,757,742.008104154,1.50713185891
2010-01-03,20,00,0,"
СВ
",6,-8,86,758,742.988299801,1.50713185891
2010-01-03,21,00,0,"
С
",5,-9,93,758,742.932038215,1.25594321575
2010-01-03,22,00,2,"
С
",6,-9,86,758,742.932038215,1.50713185891
2010-01-03,23,00,2,"
СВ
",6,-10,93,758,742.875353337,1.50713185891
2010-01-04,00,30,5,"

",0,-13,85,767,751.521080555,0.0
2010-01-04,03,00,4,"
СВ
",4,-10,93,759,743.855399978,1.0047545726
2010-01-04,04,00,4,"
СВ
",4,-10,93,759,743.855399978,1.0047545726
2010-01-04,05,00,4,"
С
",4,-10,93,759,743.855399978,1.0047545726
2010-01-04,06,00,4,"
СВ
",5,-10,86,759,743.855399978,1.25594321575
2010-01-04,07,00,2,"
СВ
",5,-10,86,760,744.835446618,1.25594321575
2010-01-04,08,00,2,"
СВ
",5,-11,92,761,745.758154253,1.25594321575
2010-01-04,09,00,2,"
СВ
",5,-11,85,761,745.758154253,1.25594321575
2010-01-04,09,30,5,"
СВ
",5,-11,85,761,745.758154253,1.25594321575
2010-01-04,11,00,5,"
СВ
",4,-11,92,762,746.738125547,1.0047545726
2010-01-04,12,00,4,"
С
",6,-10,86,762,746.795539899,1.50713185891
2010-01-04,13,00,4,"
СВ
",6,-9,79,762,746.852523905,1.50713185891
2010-01-04,14,00,4,"
СВ
",5,-8,73,762,746.909082385,1.25594321575
2010-01-04,15,00,4,"
С
",4,-8,73,763,747.889278031,1.0047545726
2010-01-04,15,30,0,"
СВ
",4,-8,73,763,747.889278031,1.0047545726
2010-01-04,16,30,0,"
СВ
",4,-9,79,764,748.81276675,1.0047545726
2010-01-04,17,30,0,"
СВ
",3,-10,79,764,748.755633179,0.753565929453
2010-01-04,18,00,0,"
СЗ
",3,-10,79,764,748.755633179,0.753565929453
2010-01-04,20,00,2,"
С
",3,-11,85,765,749.678039427,0.753565929453
2010-01-04,21,00,2,"
С
",2,-11,85,766,750.65801072,0.502377286302
2010-01-04,22,00,5,"
С
",2,-12,92,766,750.599857457,0.502377286302
2010-01-04,23,00,5,"
С
",1,-12,85,767,751.579752832,0.251188643151
2010-01-05,00,30,0,"
В
",2,-11,92,769,753.5979246,0.502377286302
2010-01-05,03,00,2,"

",0,-14,92,767,751.461960106,0.0
2010-01-05,04,00,0,"
СВ
",2,-14,92,767,751.461960106,0.502377286302
2010-01-05,05,00,0,"

",0,-14,92,768,752.441701905,0.0
2010-01-05,06,00,0,"

",0,-14,92,768,752.441701905,0.0
2010-01-05,07,00,0,"

",0,-13,92,768,752.500899434,0.0
2010-01-05,08,00,0,"

",0,-12,92,768,752.559648207,0.0
